titulo,autores,editorial,fecha_publicacion,isbn,numero_paginas,genero,idioma
Forever Princess,Meg Cabot (Goodreads Author),Harper Teen,2008-01-01,9780061232923,383,"['Young Adult', 'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Teen', 'Childrens', 'Humor', 'Realistic Fiction', 'Young Adult Contemporary']",English
Necessary Evils,Neesa Hart,Tyndale House Publishers,2005-01-24,9781414300399,320,"['Christian Fiction', 'Christian', 'Fiction']",English
A Treatise of Human Nature,David Hume,Hard Press,2040-11-06,9781406927559,434,"['Philosophy', 'Nonfiction', 'Classics', 'Politics', 'Psychology', '18th Century', 'Science', 'Academic', 'Literature', 'Collections']",English
As Meninas Ocultas de Cabul,"Jenny Nordberg (Goodreads Author), Denise Bottmann (Translator)",Companhia das Letras,2014-10-30,9788535926965,424,"['Nonfiction', 'Feminism', 'History', 'Politics', 'Womens', 'Religion', 'Gender', 'Asia', 'Biography', 'Adult']",Portuguese
Fire Along the Sky,Sara Donati (Goodreads Author),Dell,2004-10-28,9780553582772,655,"['Historical Fiction', 'Romance', 'Historical', 'Fiction', 'Historical Romance', 'Adventure', 'Wilderness', 'Audiobook', 'Adult', '19th Century']",English
Genghis: Lords of the Bow,Conn Iggulden,Delacorte Press,2008-01-02,9780385339520,387,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'Fantasy', 'Adventure', 'Asia', 'China', 'Novels', 'Military Fiction']",English
Owlsight,"Mercedes Lackey, Larry Dixon",DAW,1998-11-06,9780886778033,450,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'High Fantasy', 'Young Adult', 'Adult', 'Epic Fantasy', 'Adventure', 'Novels']",English
God's Smuggler,"Brother Andrew, Elizabeth Sherrill (Goodreads Author) (Contributor), John Sherrill (Contributor)",Chosen Books,2064-10-28,9780800793012,256,"['Christian', 'Biography', 'Nonfiction', 'History', 'Christianity', 'Faith', 'Memoir', 'Religion', 'Christian Non Fiction', 'Autobiography']",English
A Year in the World: Journeys of a Passionate Traveller,Frances Mayes (Goodreads Author),Broadway Books,2006-01-01,9780767910057,420,"['Travel', 'Nonfiction', 'Memoir', 'Italy', 'Biography', 'Food', 'France', 'Biography Memoir', 'Unfinished', 'Audiobook']",English
Feeling Sorry for Celia,Jaclyn Moriarty,St. Martin's Griffin,2000-05-01,9780312287368,288,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Humor', 'Chick Lit', 'Teen', 'Australia', 'Realistic Fiction', 'Young Adult Contemporary']",English
The Robe,Lloyd C. Douglas,Mariner Books,2042-10-28,9780395957752,528,"['Historical Fiction', 'Fiction', 'Classics', 'Christian Fiction', 'Christian', 'Religion', 'Historical', 'Biblical Fiction', 'Christianity', 'Adult Fiction']",English
Giganto: Primata Purba Raksasa di Jantung Borneo,Koen Setyawan (Goodreads Author),Edelweiss,2009-11-06,9789791962476,440,"['Indonesian Literature', 'Novels', 'Fiction', 'Fantasy']",Indonesian
The Sympathizer,Viet Thanh Nguyen (Goodreads Author),Grove Press,2015-04-02,9780802123459,371,"['Fiction', 'Historical Fiction', 'War', 'Asia', 'Novels', 'Historical', 'Literary Fiction', 'Literature', 'Book Club', 'Politics']",English
The Lost Get-Back Boogie,James Lee Burke,Pocket Star,1986-01-01,9781416517061,376,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Mystery Thriller', 'Literary Fiction', 'American', 'Thriller', 'The United States Of America', 'Novels']",English
Pyre of Queens,David Hair,Penguin (NZ),2010-09-03,9780143306122,252,"['Fantasy', 'Young Adult', 'Historical Fiction', 'Cultural', 'Mythology']",English
Something More : In Search of a Deeper Faith,Catherine Marshall,Avon books,1974-01-01,9780380510450,276,"['Christian', 'Nonfiction', 'Religion', 'Inspirational', 'Christianity', 'Spirituality', 'Memoir', 'Christian Living', 'Faith', 'Autobiography']",English
"Nigella Express: Good Food, Fast",Nigella Lawson,Hachette Books,2007-11-06,9781401322434,400,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Foodie', 'Food and Drink', 'Culinary', 'Food Writing', 'How To']",English
"Enchantment: The Art of Changing Hearts, Minds, and Actions",Guy Kawasaki (Goodreads Author),Portfolio,2011-01-01,9781591843795,240,"['Business', 'Nonfiction', 'Leadership', 'Self Help', 'Psychology', 'Entrepreneurship', 'Personal Development', 'Management', 'Communication', 'Buisness']",English
Le Monogramme,Odysseus Elytis,Fata Morgana,1972-10-28,9782851944375,40,"['Poetry', 'Classics', 'Greece', 'Nobel Prize', 'Literature', 'Romance', 'Fiction']",French
